Type	BF	DK	OMPBF	OMPDK	FROM	TO	NTHRDS
Dist	2514.614	2514.614	2514.614	2514.614	0	1	2
Time	0.00822	0.00804	0.00902	0.00911	0	1	2
Dist	2514.614	2514.614	2514.614	2514.614	0	1	3
Time	0.00812	0.00793	0.00903	0.00929	0	1	3
Dist	2514.614	2514.614	2514.614	2514.614	0	1	4
Time	0.00809	0.00795	0.00918	0.00924	0	1	4
Dist	2392.983	2392.983	2392.983	2392.983	0	2	2
Time	0.00831	0.00870	0.00940	0.00958	0	2	2
Dist	2392.983	2392.983	2392.983	2392.983	0	2	3
Time	0.00808	0.00784	0.00884	0.00942	0	2	3
Dist	2392.983	2392.983	2392.983	2392.983	0	2	4
Time	0.00780	0.00799	0.00880	0.00946	0	2	4
Dist	1377.046	1377.046	1377.046	1377.046	0	3	2
Time	0.00848	0.00869	0.00934	0.00938	0	3	2
Dist	1377.046	1377.046	1377.046	1377.046	0	3	3
Time	0.00807	0.00844	0.00938	0.00928	0	3	3
Dist	1377.046	1377.046	1377.046	1377.046	0	3	4
Time	0.00780	0.00877	0.00898	0.00914	0	3	4
Dist	2499.451	2499.451	2499.451	2499.451	0	4	2
Time	0.00803	0.00818	0.00896	0.00922	0	4	2
Dist	2499.451	2499.451	2499.451	2499.451	0	4	3
Time	0.00819	0.00817	0.00910	0.00939	0	4	3
Dist	2499.451	2499.451	2499.451	2499.451	0	4	4
Time	0.00837	0.00832	0.00941	0.00998	0	4	4
Dist	1680.652	1680.652	1680.652	1680.652	0	5	2
Time	0.00813	0.00831	0.00900	0.00915	0	5	2
Dist	1680.652	1680.652	1680.652	1680.652	0	5	3
Time	0.00816	0.00863	0.00930	0.00917	0	5	3
Dist	1680.652	1680.652	1680.652	1680.652	0	5	4
Time	0.00831	0.00792	0.00941	0.00955	0	5	4
Dist	2413.194	2413.194	2413.194	2413.194	0	6	2
Time	0.00804	0.00813	0.00892	0.00917	0	6	2
Dist	2413.194	2413.194	2413.194	2413.194	0	6	3
Time	0.00869	0.00819	0.00901	0.00889	0	6	3
Dist	2413.194	2413.194	2413.194	2413.194	0	6	4
Time	0.00823	0.00818	0.00900	0.00903	0	6	4
Dist	979.831	979.831	979.831	979.831	0	7	2
